,features,corr,lasso,k_best,rf-importance,rfecv,corr_rank,lasso_rank,k_best_rank,rf-importance_rank,rfecv_rank,voting
148,c.244,0.0063741821485785565,0.0,2.9014817968136937,0.0001687697771359576,,0,0,0,0,0,0
149,c.279,0.04121748896346666,0.0,20.084403128286645,0.00038541524809658343,,0,0,0,0,0,0
150,c.278,0.04407655805562025,0.0,11.228705801908415,0.0003132254964370325,,0,0,0,0,0,0
151,c.277,0.10639936248039154,0.0,43.6018419614384,0.00030206831123132355,,0,0,0,0,0,0
152,c.275,0.025220137780177038,0.0,1.7528092913433675,0.0002010793638244387,,0,0,0,0,0,0
153,c.274,0.13522941362895127,0.0,75.23167304524956,0.0002631787568216403,,0,0,0,0,0,0
154,var2,0.034754061405489686,0.00014397700851965023,4.763303392764887,0.004465904294883843,,0,0,0,0,0,0
155,var8,0.01843320240925222,0.0,1.6014596658059717,0.002566543417317271,,0,0,0,0,0,0
156,a.183,0.0129211262821038,4.437443724926633e-05,24.790446919609863,0.006394287132517195,,0,0,0,0,0,0
157,c.93,0.00672177175754336,0.0,1.2407781428776343,0.001229260859195807,,0,0,0,0,0,0
158,c.51,0.03443217395075639,0.0,3.3334680057224215,7.463750463672023e-05,,0,0,0,0,0,0
159,c.52,0.03953931725894463,7.716233325630031e-05,16.083669932283065,0.00406064944738155,,0,0,0,0,0,0
160,c.53,0.009371697535923887,0.0,0.7641655888383027,6.41096275283218e-05,,0,0,0,0,0,0
161,c.54,0.012131506505401481,3.989899447237717e-05,14.417514349062996,0.0005558689708666278,,0,0,0,0,0,0
162,c.55,,0.0,,0.0,,0,0,0,0,0,0
163,c.56,0.0015846015349258028,0.0,2.081766344207582,2.9764706243011716e-05,,0,0,0,0,0,0
164,c.59,0.013961217677288978,2.082486280723754e-20,6.474705425029944,0.005763312937858803,,0,0,0,0,0,0
165,c.60,0.08871267264144074,0.0,47.297587014657346,0.0018501594068796958,,0,0,0,0,0,0
166,c.62,0.011343447262344793,0.0,2.2556602512001422,1.0361644718513656e-05,,0,0,0,0,0,0
167,b.63,0.012638827569306375,0.0,2.8009442586479345,1.7436162302147284e-05,,0,0,0,0,0,0
168,c.71,0.06168322439539868,4.7692765652757636e-05,95.5627963937255,0.00034748395937585767,,0,0,0,0,0,0
169,c.72,0.01828382845422313,0.0,10.67541220937874,1.8690947038916904e-05,,0,0,0,0,0,0
170,c.74,0.004161921521972583,4.2041532680106404e-05,0.6916597928265157,0.000514071076982678,,0,0,0,0,0,0
171,c.78,0.04962736916621846,1.5276222148192142e-05,13.164621633722533,0.0026469989495705023,,0,0,0,0,0,0
172,c.79,0.015828954354588164,0.0001002259562182942,3.401977414363623,0.0003330854224301905,,0,0,0,0,0,0
173,c.80,0.0015290458122749916,2.4161055614136443e-05,7.650449306855886,0.00030562098201666405,,0,0,0,0,0,0
174,c.82,0.0768783033160245,1.0352264072488892e-05,18.81643127126166,0.0010779959311512889,,0,0,0,0,0,0
175,c.85,0.02353295958604968,0.0,7.151965218673867,0.0006424247557463098,,0,0,0,0,0,0
176,c.86,0.025922968268354624,0.0,4.368487869836221,0.00019055910937524514,,0,0,0,0,0,0
177,c.87,0.01793817985449642,0.0,0.9444340665546285,0.00011202071755494928,,0,0,0,0,0,0
178,c.88,0.009102626187001929,0.0,2.550289675252281,0.000540994163575104,,0,0,0,0,0,0
179,c.90,0.005115962422289282,0.0,0.40667321886649493,0.00031183804314294304,,0,0,0,0,0,0
180,c.91,0.003033483582011005,0.0,1.7097142212224998,1.5360586844917227e-05,,0,0,0,0,0,0
181,c.50,0.09416649331462632,6.713160706283597e-05,74.65853946462556,0.005562566398157825,,0,0,0,0,0,0
182,c.49,0.06265215588152245,0.0,11.667529145883854,0.00010599709015883952,,0,0,0,0,0,0
183,c.46,0.03029565052798531,9.331143981153456e-05,9.017382308073193,0.0001295565608771962,,0,0,0,0,0,0
184,b.28,0.007296368667216857,0.0,0.9326885302831851,2.2867002911663786e-05,,0,0,0,0,0,0
185,b.7,0.050441891214403914,0.0,10.613818735945099,0.0016449328522012796,,0,0,0,0,0,0
186,b.8,0.013397271992294684,0.0,14.64899452319273,0.0013422099412664916,,0,0,0,0,0,0
187,b.9,0.07081136601887393,0.0,12.504294066434612,0.001373423646065776,,0,0,0,0,0,0
188,b.12,0.14936626245115076,0.0,61.59227735118614,0.0028341223980131265,,0,0,0,0,0,0
189,b.15,0.025705026027743216,0.0,46.866445783430684,0.006195900388951053,,0,0,0,0,0,0
190,b.18,0.025937157430945584,0.0,49.094765202895026,0.006389094964657502,,0,0,0,0,0,0
191,b.19,0.07582012672093542,0.0,101.84378253877549,0.006382516886121134,,0,0,0,0,0,0
192,b.25,0.010422595367427097,0.0,1.481547304613174,0.0007405419971172149,,0,0,0,0,0,0
193,b.26,0.0023946817639027996,0.0,0.2889273314166749,0.00013815114561551033,,0,0,0,0,0,0
194,b.27,0.005910826221099083,0.0,0.13020610118849069,7.416819166988811e-06,,0,0,0,0,0,0
195,c.29,0.11563779331274786,0.0,47.23079113221791,0.0010672417305627748,,0,0,0,0,0,0
196,c.45,0.007296368667216837,0.0,0.9326885302831852,8.997033321428917e-07,,0,0,0,0,0,0
197,c.30,0.14881475609313438,0.0,103.46665339430723,0.0023002183315346462,,0,0,0,0,0,0
198,c.32,0.10238843522011222,0.0,37.677561968323154,0.000566077530396304,,0,0,0,0,0,0
199,c.33,0.0671049195563034,0.0,58.96439664151862,0.003884428145869153,,0,0,0,0,0,0
200,c.34,0.03028819308186936,0.0,3.4947108170971104,0.0001001448712930865,,0,0,0,0,0,0
201,c.35,0.006790748843176419,0.0,0.1766976962168501,0.0,,0,0,0,0,0,0
202,c.38,0.012419597681804024,0.0,69.42599408173095,0.00323127592621644,,0,0,0,0,0,0
203,c.39,0.02504331405974517,0.00011235580743906546,2.815443670578872,0.005016298291993715,,0,0,0,0,0,0
204,c.41,0.00745345750602232,0.0,0.21287185119989865,0.0,,0,0,0,0,0,0
205,c.42,0.00378465649219145,0.00013612818750416653,2.1435359428420004,0.00013990391928727627,,0,0,0,0,0,0
206,c.44,0.045020398041515,7.04054223667113e-05,18.011997490677928,0.00035975919883421626,,0,0,0,0,0,0
207,c.92,0.14545513960934914,0.0,134.5931327475671,0.004096879577767577,,0,0,0,0,0,0
208,d.94,0.02930838744995001,0.0,9.30741608727946,0.002872910998504398,,0,0,0,0,0,0
209,t7.182,0.11041764139017221,0.0,57.61473431605153,0.0010013372128649483,,0,0,0,0,0,0
210,e.101,0.11234055268862958,0.0,37.16249015554537,0.0019288177340100834,,0,0,0,0,0,0
211,t7.154,0.087805981751472,1.1350906680248531e-05,22.509482280090147,0.0016760566962763302,,0,0,0,0,0,0
212,t7.155,0.040804462836202565,1.1715885740470692e-06,17.530375938255112,0.0006943078393840327,,0,0,0,0,0,0
213,t7.156,0.019117935651266897,0.0,1.8851211344552425,0.0002563635784108895,,0,0,0,0,0,0
214,t7.158,0.027803922261038377,6.3656471570248066e-06,3.394498655363577,0.004287269141615341,,0,0,0,0,0,0
215,c.160,0.04382400335645387,0.0,9.188897396532926,0.0002310248629927411,,0,0,0,0,0,0
216,c.161,0.07120972162456385,0.0,16.852575471821467,0.0001698760008016583,,0,0,0,0,0,0
217,c.162,0.012961150530455826,0.0,56.92569601480672,0.0008113937358206863,,0,0,0,0,0,0
218,c.163,0.09461372916768496,0.0,31.730523556849633,0.0005950739718095171,,0,0,0,0,0,0
219,c.164,0.021670851323434045,0.0,12.906069642248873,0.0008172869384164623,,0,0,0,0,0,0
220,c.166,0.0076578039824275,0.0,5.910808649769914,0.00029657628655442114,,0,0,0,0,0,0
221,c.167,0.04822575644721258,0.0,9.567722955636448,6.429267139573652e-05,,0,0,0,0,0,0
222,c.168,0.024228053458952917,0.0,1.8896218011247725,7.381110666022213e-05,,0,0,0,0,0,0
223,c.169,0.00681544975861277,0.0,3.9951714419527504,0.00031875253456741345,,0,0,0,0,0,0
224,c.170,0.01128905109614659,0.0,9.466927352657171,0.000551789158321237,,0,0,0,0,0,0
225,c.171,0.016956714894753738,0.0,1.863983870651743,0.00024309816458761293,,0,0,0,0,0,0
226,c.172,0.008715997241337238,0.0,6.826262867174666,1.646614412067664e-05,,0,0,0,0,0,0
227,t7.174,0.04382400335645387,0.0,9.188897396532926,0.0002110501397040154,,0,0,0,0,0,0
228,t7.175,0.07120972162456385,0.0,16.852575471821467,0.00015324461528433886,,0,0,0,0,0,0
229,t7.176,0.07891618710583911,0.0,38.21547303699803,0.0006835234800685322,,0,0,0,0,0,0
230,t7.177,0.021670851323434045,0.0,12.906069642248873,0.00077668656492597,,0,0,0,0,0,0
231,t7.179,0.0076578039824275,0.0,5.910808649769914,0.0003915999167278376,,0,0,0,0,0,0
232,t7.180,0.05335530135789535,0.0,10.554876474118563,0.00010120578540009087,,0,0,0,0,0,0
233,t7.181,0.017242488441297416,0.0,9.968542249566852,0.0006867399681962035,,0,0,0,0,0,0
234,t7.153,0.03571858391529313,9.478880378338665e-05,3.5453311132598238,0.0021310496084744365,,0,0,0,0,0,0
235,t7.151,0.009501820936602269,5.63459314911786e-07,2.0602585645813636,0.00035105383505580276,,0,0,0,0,0,0
236,t7.150,0.005286931297368672,7.246858484556102e-07,0.9816932516026645,0.0002864166797207767,,0,0,0,0,0,0
237,pp.133,0.004181402432722086,0.0,0.6738945738030186,0.00027674334212323754,,0,0,0,0,0,0
238,f.103,0.024933634521998385,0.0,37.39563082545077,0.0025985941842380724,,0,0,0,0,0,0
239,var4,0.14545513960934914,0.0,134.5931327475671,0.0037164244930636752,,0,0,0,0,0,0
240,c.125,0.1070527595254252,9.706228270205549e-05,55.20222997244133,0.004419760038909754,,0,0,0,0,0,0
241,c.126,0.003320255166000848,0.0,0.8661766822454006,2.1589051894351358e-05,,0,0,0,0,0,0
242,c.127,0.009214344529335287,0.0,0.42893496300078465,1.667687758823656e-05,,0,0,0,0,0,0
243,pp.128,0.10052051953415013,0.00011287157300471559,46.26946716672953,0.0010396966139062031,,0,0,0,0,0,0
244,pp.129,0.03887295730912321,0.0,6.357327154134502,0.0008766973627316468,,0,0,0,0,0,0
245,pp.130,0.10602808057128536,7.464311172259198e-05,50.89739651024616,0.0021645678956267733,,0,0,0,0,0,0
246,pp.131,0.06707688150921337,0.0,17.539252158875875,0.0003023454139845783,,0,0,0,0,0,0
247,pp.132,0.09884948636654685,0.0,44.93965471191406,0.0005319890468094649,,0,0,0,0,0,0
248,pp.134,0.018899433657280956,0.0,2.600618426021066,0.0002020739808600804,,0,0,0,0,0,0
249,t7.149,0.03337402439226887,4.2071150636659954e-07,5.699845094787135,0.0027710531416318763,,0,0,0,0,0,0
250,c.135,0.03337402439226887,2.9777484216958447e-05,5.699845094787135,0.002999887852151933,,0,0,0,0,0,0
251,c.137,0.009501820936602269,5.54734855137413e-05,2.0602585645813636,0.0003497377249773728,,0,0,0,0,0,0
252,c.138,0.02697532041468732,0.0,69.05755813484072,0.0014555468421218343,,0,0,0,0,0,0
253,c.139,0.03958334122126176,0.0,4.520329802071821,0.001143442754567083,,0,0,0,0,0,0
254,c.141,0.087805981751472,2.8060005313184876e-06,22.509482280090147,0.0015483352902546106,,0,0,0,0,0,0
255,c.143,0.01751737852123647,0.0,1.9779544808382934,0.00016987760147586982,,0,0,0,0,0,0
256,c.144,0.008371485136550245,0.0,0.48485018353216924,0.00012073476251118398,,0,0,0,0,0,0
257,c.145,0.011697351754226974,0.0,8.878734686730061,0.0005710884933420406,,0,0,0,0,0,0
258,c.147,0.01637651574756413,0.0,1.6817504747808503,0.0004031107859217876,,0,0,0,0,0,0
259,c.148,0.010627939827435031,0.0,6.2605956067112984,9.901608508534892e-06,,0,0,0,0,0,0
260,var9_nan,0.02420966834308156,0.0,1.5304766244959216,0.00018420826194363458,,0,0,0,0,0,0
