,pov6
4644,1
8596,1
17382,1
2698,1
3353,1
1313,2
9468,1
15519,1
15483,1
12158,1
2006,1
16806,1
11011,2
15507,1
17850,1
948,1
12332,1
7542,1
7343,1
3041,1
383,1
2628,6
8055,1
11162,1
2361,4
3779,1
3341,1
3798,1
9170,1
15592,1
10207,1
2184,1
8816,1
18303,1
15064,1
3197,1
16914,6
1983,2
452,1
15633,1
17900,1
5830,1
16390,1
15035,2
16932,1
15705,1
17629,1
1066,1
1981,2
17041,2
16845,3
5191,2
4427,1
296,1
7733,1
8535,1
16109,1
7865,1
5912,1
10631,1
12521,1
13252,1
5588,2
2431,2
10816,1
14446,1
9581,1
16349,1
17662,5
6346,1
16010,6
2478,1
8641,1
16724,1
546,1
13335,2
4055,1
14348,1
6845,1
3848,1
8448,1
13001,1
16336,1
2974,1
5006,1
7177,1
5656,1
316,3
15412,1
7403,1
1414,2
15433,1
7120,1
13276,2
17285,1
14130,1
17388,1
4488,1
791,1
17678,1
2686,1
3593,1
4382,1
15300,1
17786,1
6953,1
12385,1
2035,1
11504,6
12917,1
6563,1
11545,1
10810,1
12101,1
17205,1
2786,1
2112,6
17099,1
9984,6
6671,2
10119,2
9206,1
3643,1
2259,1
17683,2
7442,2
8373,1
13524,1
16970,2
9900,2
18102,1
2659,2
9163,2
13982,1
10683,1
12018,1
3166,2
8423,1
9722,1
13422,1
2869,1
16448,2
5127,1
18360,1
8874,1
16739,1
14916,1
17319,2
14947,2
8800,1
17707,1
7415,1
5319,1
14082,1
6498,1
15783,1
15149,1
13720,1
43,1
7053,1
17706,1
15449,2
6882,2
12842,1
16399,1
13609,2
4301,1
13393,1
2655,1
4333,1
18169,1
17404,1
5601,1
1347,1
13746,1
3546,2
16200,1
11069,1
8181,2
13997,2
8054,1
4223,1
11481,2
7675,1
12407,1
1910,1
15910,1
8309,1
17363,1
3697,1
11534,2
11631,1
10862,1
2946,5
14810,2
13148,1
10663,1
14627,1
2014,1
7452,1
16732,1
15849,1
8192,1
11002,1
7637,1
2151,3
13244,1
1742,1
15240,3
14437,1
8012,1
5659,3
8867,1
5931,1
3023,2
8994,1
2086,1
15994,1
11899,1
8180,1
14858,2
6901,1
17855,1
14452,1
7665,1
4961,1
8145,1
12780,2
15297,1
11358,1
13517,1
5655,1
13069,1
1594,2
15539,2
12752,1
14086,1
5444,1
5346,1
6809,1
4246,1
17784,1
1878,1
13568,1
12576,1
12180,1
14475,1
6232,1
9966,2
719,1
11234,1
1540,2
5337,1
8591,1
6128,1
11169,1
897,1
14969,2
7965,1
10414,1
1424,2
9161,2
17728,1
421,2
16499,1
15236,1
14425,1
9599,1
3608,1
3941,2
9068,1
15243,1
7275,1
9918,2
4717,2
15606,1
9772,1
1987,1
10584,1
5939,1
103,6
2091,1
16494,1
739,2
17395,1
4763,1
401,1
15760,3
11710,2
9078,1
13996,2
13775,1
17858,1
2443,1
272,1
16309,1
14622,1
5855,1
9524,2
2970,5
15117,1
764,1
12032,1
9309,1
8439,1
15785,1
2454,1
11351,2
1159,2
17658,1
17061,1
18128,1
2802,1
4210,1
933,1
17600,1
16753,2
2078,2
17033,1
3147,1
1653,1
3795,1
690,1
11726,1
12939,1
13592,1
8536,1
16560,2
11318,1
12064,1
11133,1
9878,1
16376,1
3511,2
16455,1
4506,1
13963,1
15163,2
11338,1
1441,2
16778,1
14555,1
5567,1
2171,2
1427,1
14964,1
17272,1
18281,1
10405,1
15023,2
16402,2
10011,1
16271,1
17641,1
1974,1
9082,2
4702,1
16593,1
18300,1
16340,1
7211,1
7854,1
6415,2
14277,5
8719,1
14734,1
6229,1
4321,1
1950,4
7629,1
14502,1
10161,1
11807,1
13416,1
4958,1
4484,1
15405,1
8221,1
18151,2
12148,6
7778,1
5578,1
4430,1
154,1
16167,1
13030,1
1308,1
11199,1
4212,1
4619,1
7319,1
7994,1
5863,2
14984,1
4299,1
634,1
10660,1
5400,1
15681,1
3922,1
3993,1
11674,1
838,1
4929,1
2945,1
2888,2
2421,1
12043,6
10625,1
14864,2
15651,1
32,1
9827,1
17834,1
5905,2
6044,1
2651,1
2255,1
14121,1
4515,1
13820,1
15328,1
16123,1
10469,1
12945,1
542,4
1973,1
9606,1
9633,1
14832,2
16423,1
18174,2
9404,1
9278,1
3647,1
1273,1
16736,1
7781,1
5562,1
14809,1
498,1
6631,1
11778,1
2599,1
13880,1
12430,1
16213,1
2362,1
12640,2
8062,1
9373,1
5138,1
12700,6
16386,1
1638,1
616,1
13686,2
13340,2
7270,2
1486,6
15252,2
3260,3
1120,2
13108,6
3119,2
5690,1
4606,3
15476,1
12173,1
7086,1
2395,1
11787,1
16316,1
3554,1
13838,1
7200,1
2791,1
11040,2
1706,1
6557,1
8171,2
6005,1
3392,1
8534,1
3020,2
11452,1
5336,1
11740,1
17628,1
12076,6
15130,1
12863,1
2047,2
16703,1
8904,1
975,1
11530,1
16357,2
7692,1
13596,1
1936,1
2331,2
9589,1
17318,2
4151,1
13367,1
1849,1
3114,2
275,6
16060,1
16623,1
2204,1
1482,1
118,1
7642,1
13078,1
2867,1
11330,1
11477,1
14210,1
12162,1
9207,1
11256,2
10670,1
11844,1
10202,1
3472,1
11895,1
8364,1
13442,1
9536,1
8950,1
2845,6
10103,1
6878,1
3898,1
11009,1
10142,2
10850,1
13285,1
4911,1
8651,2
7664,1
10164,1
3016,1
10620,1
2043,5
18013,2
5646,1
89,1
10546,1
1046,1
11491,1
17320,2
13862,1
12815,1
9996,1
12449,1
10876,1
3144,3
5380,1
15160,1
8954,1
2336,1
7357,1
193,1
4339,1
5503,1
10450,1
10065,1
8185,1
7480,1
4930,1
2369,1
11837,1
14129,1
6303,2
16117,1
16339,1
7134,1
12378,2
5327,1
2401,1
11496,1
5137,1
11212,1
6780,1
3029,1
14144,1
12436,1
17525,1
15513,1
9125,1
7803,2
12686,1
10622,1
3755,1
3734,1
4437,1
10869,1
12464,1
6564,1
2975,1
12431,1
12058,1
16622,1
8263,1
7483,1
5724,1
16110,1
14150,2
5182,1
6799,1
18325,1
3468,1
10941,2
13221,1
2753,1
15588,1
565,1
9075,1
11329,1
6619,1
14751,1
6085,1
