,features,corr,k_best,lasso,rf-importance,dt-importance,corr_rank,k_best_rank,lasso_rank,rf-importance_rank,dt-importance_rank,voting
123,c.139,0.03958334122126176,4.520329802071821,0.0,,0.0005163456926318414,0,0,0,0,0,0
124,c.79,0.015828954354588164,3.401977414363623,0.0,,0.0005073656080951584,0,0,0,0,0,0
125,c.71,0.06168322439539868,95.5627963937255,0.0,,0.0,0,0,0,0,0,0
126,c.257,0.0545181806097344,34.20229767567881,0.0,,,0,0,0,0,0,0
127,c.138,0.02697532041468732,69.05755813484072,0.0,,0.00047582689438599473,0,0,0,0,0,0
128,b.9,0.07081136601887393,12.504294066434612,0.0,,0.0004476618930482789,0,0,0,0,0,0
129,b.7,0.050441891214403914,10.613818735945099,0.0,,0.00048713379908085975,0,0,0,0,0,0
130,c.78,0.04962736916621846,13.164621633722533,0.0,0.005342175562832511,0.0010841505137420301,0,0,0,0,0,0
131,c.258,0.006283836154602403,1.8884555886455565,0.0,,,0,0,0,0,0,0
132,c.72,0.01828382845422313,10.67541220937874,0.0,,,0,0,0,0,0,0
133,c.256,0.09471396414962428,143.34821463729253,0.0,,,0,0,0,0,0,0
134,t7.180,0.05335530135789535,10.554876474118563,0.0,,,0,0,0,0,0,0
135,c.171,0.016956714894753738,1.863983870651743,0.0,,0.0,0,0,0,0,0,0
136,c.172,0.008715997241337238,6.826262867174666,0.0,,,0,0,0,0,0,0
137,c.42,0.00378465649219145,2.1435359428420004,0.0,,,0,0,0,0,0,0
138,t7.174,0.04382400335645387,9.188897396532926,0.0,,,0,0,0,0,0,0
139,t7.175,0.07120972162456385,16.852575471821467,0.0,,,0,0,0,0,0,0
140,t7.176,0.07891618710583911,38.21547303699803,0.0,,0.000427313625182448,0,0,0,0,0,0
141,t7.177,0.021670851323434045,12.906069642248873,0.0,,,0,0,0,0,0,0
142,t7.179,0.0076578039824275,5.910808649769914,0.0,,,0,0,0,0,0,0
143,t7.181,0.017242488441297416,9.968542249566852,0.0,,,0,0,0,0,0,0
144,c.169,0.00681544975861277,3.9951714419527504,0.0,,,0,0,0,0,0,0
145,t7.182,0.11041764139017221,57.61473431605153,0.0,,0.0008687917110005079,0,0,0,0,0,0
146,var1,0.027893075540965262,17.099215059164237,0.0,,0.0,0,0,0,0,0,0
147,c.187,0.03238846799019492,4.5854636484250655,0.0,0.003739400382071585,0.0020718236372482325,0,0,0,0,0,0
148,f.188,0.11317289584123923,46.2127747689715,0.0,,0.0004972587649758515,0,0,0,0,0,0
149,c.38,0.012419597681804024,69.42599408173095,0.0,0.005632544827707665,0.0005835899348455685,0,0,0,0,0,0
150,c.35,0.006790748843176419,0.1766976962168501,0.0,,,0,0,0,0,0,0
151,c.34,0.03028819308186936,3.4947108170971104,0.0,,,0,0,0,0,0,0
152,b.194,0.11980954973643851,96.72352779497076,0.0,0.005699973595275813,0.0009102458491981663,0,0,0,0,0,0
153,c.170,0.01128905109614659,9.466927352657171,0.0,,,0,0,0,0,0,0
154,c.168,0.024228053458952917,1.8896218011247725,0.0,,,0,0,0,0,0,0
155,c.198,0.06610879550614128,23.75521951947112,0.0,,,0,0,0,0,0,0
156,c.49,0.06265215588152245,11.667529145883854,0.0,,,0,0,0,0,0,0
157,c.93,0.00672177175754336,1.2407781428776343,0.0,,0.0016534156825473239,0,0,0,0,0,0
158,d.94,0.02930838744995001,9.30741608727946,0.0,0.004299469303830267,0.0021084535484427558,0,0,0,0,0,0
159,c.70,0.07926997962872988,154.0645546799488,0.0,,,0,0,0,0,0,0
160,c.68,0.07569015460086034,82.83087773705007,0.0,,,0,0,0,0,0,0
161,b.63,0.012638827569306375,2.8009442586479345,0.0,,,0,0,0,0,0,0
162,c.55,,,0.0,,,0,0,0,0,0,0
163,c.53,0.009371697535923887,0.7641655888383027,0.0,,1.5335612125817023e-05,0,0,0,0,0,0
164,c.51,0.03443217395075639,3.3334680057224215,0.0,,,0,0,0,0,0,0
165,c.46,0.03029565052798531,9.017382308073193,0.0,,,0,0,0,0,0,0
166,c.167,0.04822575644721258,9.567722955636448,0.0,,,0,0,0,0,0,0
167,c.126,0.003320255166000848,0.8661766822454006,0.0,,,0,0,0,0,0,0
168,c.45,0.007296368667216837,0.9326885302831852,0.0,,,0,0,0,0,0,0
169,c.160,0.04382400335645387,9.188897396532926,0.0,,,0,0,0,0,0,0
170,c.161,0.07120972162456385,16.852575471821467,0.0,,,0,0,0,0,0,0
171,c.162,0.012961150530455826,56.92569601480672,0.0,,0.0,0,0,0,0,0,0
172,c.163,0.09461372916768496,31.730523556849633,0.0,,,0,0,0,0,0,0
173,c.164,0.021670851323434045,12.906069642248873,0.0,,0.0007697459044102871,0,0,0,0,0,0
174,c.166,0.0076578039824275,5.910808649769914,0.0,,,0,0,0,0,0,0
175,c.196,0.007660952334328455,3.862087216202207,0.0,,,0,0,0,0,0,0
176,c.199,0.038544929452615374,26.82501333276359,0.0,,0.0,0,0,0,0,0,0
177,b.25,0.010422595367427097,1.481547304613174,0.0,,0.00023674399955734022,0,0,0,0,0,0
178,c.244,0.0063741821485785565,2.9014817968136937,0.0,,,0,0,0,0,0,0
179,c.29,0.11563779331274786,47.23079113221791,0.0,,0.00044396220798176414,0,0,0,0,0,0
180,b.28,0.007296368667216857,0.9326885302831851,0.0,,0.0,0,0,0,0,0,0
181,c.238,0.0022901869063621186,2.27376946022904,0.0,,0.00041159305703192375,0,0,0,0,0,0
182,c.239,0.0033899065536724783,2.3021512545449854,0.0,,0.000945096960833395,0,0,0,0,0,0
183,c.240,0.07048971017672034,29.033993101599663,0.0,,,0,0,0,0,0,0
184,c.241,0.04498245264351248,10.102127487281727,0.0,,,0,0,0,0,0,0
185,c.242,0.034292432777448575,4.393806426661635,0.0,,,0,0,0,0,0,0
186,c.243,0.036055776496789024,5.570492562455729,0.0,,0.00045108372421592,0,0,0,0,0,0
187,b.27,0.005910826221099083,0.13020610118849069,0.0,,0.0,0,0,0,0,0,0
188,c.233,0.08899699882212679,38.58997711355764,0.0,,,0,0,0,0,0,0
189,b.26,0.0023946817639027996,0.2889273314166749,0.0,,0.0,0,0,0,0,0,0
190,c.247,0.05011662600927751,9.473373772446998,0.0,,0.0003906867430239524,0,0,0,0,0,0
191,c.248,0.003950691965125207,0.6247328184493901,0.0,,,0,0,0,0,0,0
192,c.249,0.051709216380235255,9.10673933719182,0.0,,0.0006481521793733769,0,0,0,0,0,0
193,c.251,0.02355913222754494,2.128621857986059,0.0,,0.0,0,0,0,0,0,0
194,c.252,0.044615103910774896,7.885626145859086,0.0,,0.0,0,0,0,0,0,0
195,c.74,0.004161921521972583,0.6916597928265157,0.0,,0.0003988260501702847,0,0,0,0,0,0
196,c.254,0.03627223389325569,25.46575548095088,0.0,,0.0,0,0,0,0,0,0
197,c.32,0.10238843522011222,37.677561968323154,0.0,,,0,0,0,0,0,0
198,c.232,0.10025384967435896,43.63196536432774,0.0,,0.0011857240180892796,0,0,0,0,0,0
199,c.200,0.021528606232086772,3.629017384960209,0.0,,,0,0,0,0,0,0
200,c.211,0.003920285075066765,0.05888540109140461,0.0,,,0,0,0,0,0,0
201,c.202,0.012200892398340619,2.3472337476920444,0.0,,0.0004720798144872756,0,0,0,0,0,0
202,c.204,0.08291939039989996,29.146268235483813,0.0,,0.0,0,0,0,0,0,0
203,c.205,0.05724496288152538,29.594587475416095,0.0,,,0,0,0,0,0,0
204,c.206,0.03259543081588217,3.406335239257714,0.0,,0.0004520814263404051,0,0,0,0,0,0
205,c.207,0.025447548788615007,2.0016753558434273,0.0,,,0,0,0,0,0,0
206,c.208,0.10364917788551045,37.30599426944096,0.0,,,0,0,0,0,0,0
207,c.209,0.022553074102361733,1.9505468139247224,0.0,,,0,0,0,0,0,0
208,c.210,0.00392028507506675,0.05888540109140461,0.0,,,0,0,0,0,0,0
209,c.212,0.00784163701533623,0.23562459999788254,0.0,,,0,0,0,0,0,0
210,c.33,0.0671049195563034,58.96439664151862,0.0,0.00618859097110098,0.0003906867430239524,0,0,0,0,0,0
211,c.213,0.04204601793799138,40.41133278921435,0.0,,,0,0,0,0,0,0
212,c.224,0.10179642014368882,38.595114193184415,0.0,,,0,0,0,0,0,0
213,c.225,0.056831260828339177,105.05431759729363,0.0,,,0,0,0,0,0,0
214,c.226,0.04295181769058818,39.51912225699753,0.0,,,0,0,0,0,0,0
215,c.227,0.009857220661095685,22.983595117531546,0.0,,,0,0,0,0,0,0
216,c.228,0.0011444007284331032,2.4187849463789513,0.0,,,0,0,0,0,0,0
217,c.229,0.1055780440156726,40.34932544932372,0.0,,,0,0,0,0,0,0
218,c.230,0.05472842156949946,10.570683034087072,0.0,,,0,0,0,0,0,0
219,c.253,0.027788552620690528,2.5411446045713553,0.0,,0.000227339268569972,0,0,0,0,0,0
